"Subtotal With Discount","Subtotal dengan diskon"
"The field is applicable if the Smart Post method is selected.","The field is applicable if the Smart Post method is selected."
"The response is in wrong format.","Respon ini dalam format yang salah."
"There is no available method for selected shipping address.","Tidak ada metode yang tersedia ntuk alamat pengiriman yang dipilih."
"There is no items in this order","There is no items in this order"
"Third Party","Pihak Ketiga"
"Title","Judul"
"To Lower","Ke Paling Bawah"
"To Upper","Ke Paling Atas"
"Tracking XML URL","Penelusuran XML URL" "
"UPS","UPS"
"UPS Expedited","UPS dipercepat"
"UPS Express","UPS Express"
"UPS Express Box","UPS Kotak Express "
"UPS Express Early A.M.","UPS Express A.M. dini hari"
"UPS Express Plus","UPS Express Plus"
"UPS Ground","UPS darat"
"UPS Letter Envelope","UPS Amplop surat"
"UPS Next Day Air","UPS penerbangan hari berikut nya"
"UPS Next Day Air Early A.M.","UPS Penerbangan hari berikutnya A.M. dini"
"UPS Next Day Air Saver","UPS Penerbangan hari berikutnya lebih hemat"
"UPS Saver","UPS lebih hemat"
"UPS Second Day Air","UPS penerbangan hari kedua"
"UPS Second Day Air A.M.","UPS penerbangan hari kedua AM."
"UPS Standard","UPS standar"
"UPS Three-Day Select","UPS pilihan tiga hari"
"UPS Today Dedicated Courrier","UPS Hari Didedikasikan untuk Jasa Kurir"
"UPS Today Express","UPS Ekspress hari ini"
"UPS Today Express Saver","UPS Ekspress hari ini lebih hemat"
"UPS Today Intercity","UPS Hari ini antar kota"
"UPS Today Standard","UPS Hari ini standar"
"UPS Tube","UPS Tabung"
"UPS Type","UPS Type"
"UPS Worldwide 10 kilo","UPS Seluruh dunia 10 kilo"
"UPS Worldwide 25 kilo","UPS seluruh dunia 25 kilo"
"UPS Worldwide Expedited","UPS Percepatan seluruh dunia"
"UPS Worldwide Express","UPS Express seluruh dunia"
"UPS Worldwide Express Plus","UPS Express Plus seluruh dunia"
"UPS Worldwide Express PlusSM","UPS Express seluruh dunia PlusSM"
"UPS Worldwide Saver","UPS Hemat seluruh Dunia"
"USPS","USPS"
"USPS GXG Envelopes","USPS GXG Envelopes"
"Unable to retrieve tracking","Tidak dapat menerima penelusuran"
"United Parcel Service","United Parcel Service"
"United Parcel Service XML","United Parcel Service XML"
"Unknown error","Error tidak diketahui"
"Used only when ""Additional Protection Value"" is set to ""Configuration"". Can contain only numeric amount.","Used only when ""Additional Protection Value"" is set to ""Configuration"". Can contain only numeric amount."
"User ID","ID Pemakai"
"Variable","Variabel"
"Waybill barcode information is missing","Waybill barcode information is missing"
"Weight Unit","Unit Berat"
"Weight unit is invalid","Weight unit is invalid"
"Width","Lebar"
"Worldwide Expedited","Percepatan seluruh dunia"
"Worldwide Express","Ekspress seluruh dunia"
"Worldwide Express Letter","Surat ekspress seluruh dunia"
"Worldwide Express Plus","Ekspress seluruh dunia"
"Worldwide Express Plus Letter","Surat ekspress seluruh dunia plus"
"Worldwide Express Saver","Ekspres seluruh dunia lebih hemat"
"Wrong Content Type.","Wrong Content Type."
"Wrong Region.","Wrong Region."
"Yes","Ya"
"Your Packaging","Paket Anda"
"Zero shipping charge for '%s'","Zero shipping charge for '%s'"
"cm","cm"
"inch","inch"
